New;label
в пятница 23 ноябрь ожидаться выплата купонный доход по 19 выпуск облигация на общий сумма 787926 миллион рубль ;1
российский рынок пытаться скорректироваться после снижение ;1
и ростёха мочь создать единый компания для развитие 5g уже в март ;1
сегодня ожидаться выплата купонный доход по 28 выпуск облигация на общий сумма 527984 миллион рубль ;1
в вторник 20 ноябрь ожидаться выплата купонный доход по 28 выпуск облигация на общий сумма 527982 миллион рубль ;1
россиянин стать один в ритмтанец на кубок ;1
в течение ближний неделя с 17 по 23 ноябрь ожидаться выплата купонный доход по 76 выпуск облигация ;1
российский рынок акция открыться в минус ;0
в совдир «ростелекома» выдвинуть действующий и эксглава минкомсвязи ;1
съесть ли закон яров прибыль ;0
чистый прибыль увеличиться в 3м квартал на 46 ;1
«ростелеком» повысить прогноз по выручка за 2018 год ;1
сегодня ожидаться выплата купонный доход по 16 выпуск облигация на общий сумма 1559057 миллион рубль ;1
в среда 24 октябрь ожидаться выплата купонный доход по 16 выпуск облигация на общий сумма 1559057 миллион рубль ;1
в течение ближний неделя с 20 по 26 октябрь ожидаться выплата купонный доход по 104 выпуск облигация ;1
«ростелеком» внедрить квантовый технология для передача дать ;1
рынок акция московский биржа по состояние на 1430 мск 11 октябрь снижаться ;0
эксперт репутация российский компания ухудшиться за год ;0
прекращать листинг gdr на lse ;0
требование к уровень криптозащита ограничивать возможность предоставление банковский услуга гражданин на основа биометрия ;0
российский рынок встретить среда в плюс ;1
на создание сеть связь для нужда оборона из федеральный бюджет быть направить более 30 миллиард рубль ;1
сегодня ожидаться выплата купонный доход по 14 выпуск облигация на общий сумма 339955 миллион рубль ;1
в четверг 20 сентябрь ожидаться выплата купонный доход по 14 выпуск облигация на общий сумма 339955 миллион рубль ;1
в течение ближний неделя с 15 по 21 сентябрь ожидаться выплата купонный доход по 70 выпуск облигация ;1
сегодня ожидаться выплата купонный доход по 11 выпуск облигация на общий сумма 214271 миллион рубль ;1
в пятница 14 сентябрь ожидаться выплата купонный доход по 11 выпуск облигация на общий сумма 214271 миллион рубль ;1
в течение ближний неделя с 8 по 14 сентябрь ожидаться выплата купонный доход по 73 выпуск облигация ;1
государство мочь получить контроль над tele2 ;1
в рф нет необходимость вводить госрегулирование скорость доступ к интернетресурс министр связь ;1
платёжный система золотой корона начало работать в вьетнам ;1
россия тестировать новый технология для блокировка telegram документ ;0
рынок акция рф закрыться рост индекс мосбиржа прибавить 145 ;1
рынок акция московский биржа по состояние на 1600 мск 27 август расти ;1
рынок акция московский биржа по состояние на 1430 мск 27 август расти ;1
оператор просить не запрещать имя влиять на скорость доступ к интернетресурс ;0
оператор рф хотеть обязать иностранный компания оплачивать хранение они дать для нужда фсб ;0
эксглава скалугин уйти из минкомсвязи ;0
индекс мосбиржа упасть на 15 индекс ртс рухнуть на 37 ;0
выручка в 2м квартал превысить прогноз ;1
рынок акция московский биржа по состояние на 1600 мск 1 август снижаться ;0
