19.11.2018,АНАЛИЗ-Газпром останется скуп на рост дивидендов в условиях угрозы санкций против трубопроводов
19.11.2018,Остановка горевшей установки каткрекинга на МНПЗ продлится минимум до конца ноября
19.11.2018,"Песков допускает давление со стороны США на участников ""Турецкого потока"""
19.11.2018,"""Роснефть"" возобновила торги бензином на рынке"
18.11.2018,"""РусГидро"" разместила еврооблигации в офшорных юанях"
16.11.2018,"""Газпром нефть"" в январе-сентябре увеличила чистую прибыль на 58%"
16.11.2018,"""Газпром нефть"" может направить на дивиденды за 9 месяцев 35% чистой прибыли по МСФО"
16.11.2018,"""Газпром"" снизил экспорт газа в дальнее зарубежье в начале ноября на 12%"
16.11.2018,В течение ближайшей недели с 17 по 23 ноября ожидаются выплаты купонных доходов по 4 выпускам еврооблигаций
16.11.2018,Мосбиржа зарегистрировала облигации Газпромбанка на 10 млрд рублей
16.11.2018,Газпромнефть увеличила чистую прибыль на 70% в 3 кв г/г
16.11.2018,Газпромнефть ждет капзатраты в 2019 году на уровне 370-380 млрд рублей
16.11.2018,В течение ближайшей недели с 17 по 23 ноября ожидаются выплаты купонных доходов по 76 выпускам облигаций
16.11.2018,"ИНТЕРВЬЮ: Казначею нелегко прийти к акционеру с планами на год и сообщить, что компания будет занимать дороже - УК Трансфингруп"
15.11.2018,Газпромнефть открыла второе месторождение на шельфе Охотского моря
15.11.2018,"Газпромбанк установил ставку 1-го купона бондов на 10 млрд рублей на уровне 8,95%"
15.11.2018,"Газпромбанк установил ставку 5-6-го купонов бондов БО-12 на уровне 8,3%"
15.11.2018,"""Роснефть"" приостановила продажу бензина через биржу"
15.11.2018,"Русгидро разместила dim sum бонды на 1,5 млрд юаней под 6,125%"
15.11.2018,ФПК разместила облигации на 10 млрд рублей
