12.11.2018,начаться заполнение реестр пиратский ссылка в рамка меморандум правообладатель и яндекс 
01.11.2018,меморандум о борьба с сетевой пиратство подписать правообладатель яндекс и ряд другой интернеткомпания 
29.10.2018,на торг до открытие рынок акция redhat tesla и ford подорожать 
29.10.2018,акция яндекс позитивно отнестись к удачный отчёт 
13.06.2018,«яндекс» расти на новость о buyback 
26.07.2018,российский рынок вести себя как в апрель 
13.07.2018,«яндекс» выходить в «железо» 
26.07.2018,«яндекс» и mailru разный результат но facebook не вредить 
30.07.2018,акция «яндекса» упасть на волна распродажа в itсектор 
23.08.2018,сбербанк выигрыш в прибыть маленький снижение резерв 
23.10.2018,кремль считать обоснованный ограничение в отношение агрегатор новость 
22.10.2018,акция яндекс подорожать на 8 на заявление волож 
22.10.2018,акция яндекс оправиться после сильный падение 
19.10.2018,акция яндекс рухнуть на 18 на новость о сделка с сбербанк 
16.04.2015,рост акция yandex в сша составить вчера 14 
04.06.2013,московский биржа начинать торг на срочный рынок фьючерс на акция yandex nv 
21.04.2014,взгляд ик открытие капитал снизить оценка акция yandex на 21 рейтинг держать 
28.02.2015,росбанк разместить 65 выпуск облигация на 650 миллион рубль привязать к акция yandex 
24.05.2011,обзор финансовоэкономический пресса российский интернеткомпания возглавить серия ipo 
15.09.2014,в 2м квартал фонд развивающийся рынок morgan stanley сократить российский позиция изз геополитика 
