19.11.2018,набсовет алрос утвердить новый стратеги€ 
20.11.2018,рфпить в ближний мес€ц финализировать около 10 российскофранцузский сделка 
15.11.2018,алрос выйти из разведочный сп в ботсвана продать дол€ партнЄр 
15.11.2018,рынок акци€ рф закрытьс€ рост индекс мосбиржа прибавить 012 
13.11.2018,de beers на 10 снизить в но€брь цена на мелкоразмерный алмазный сырьЄ 
12.11.2018,силуановый переизбрать главый набсовет алрос 
09.11.2018,продажа алрос в €нвареокт€брь вырасти на 6 
09.11.2018,алрос в окт€брь 18 год снизить выручка от продажа алмаз и бриллиант на 28 год 
08.11.2018,чистый прибыль алрос за 9 мес€ц вырасти на треть 
08.11.2018,алрос спрос на мелкоразмерный сырьЄ восстановитьс€ в 1м квартал 2019 год 
08.11.2018,Ђалросаї отчитатьс€ о рост чистый прибыть на 33 за дев€ть мес€ц 
08.11.2018,результат алроса взлететь изз ослабление рубль и хорошеть конъюнктура 
17.07.2018,алрос в 1м полугодие увеличить чистый прибыль рынок на это не отреагировать 
06.11.2018,сегодн€ ожидатьс€ выплата купонный доход по 2 выпуск еврооблигаци€ на общий сумма 5414 миллион 
20.11.2014,алрос продать страховой бизнес группа согаз 
09.12.2014,долгосрочный контракт остатьс€ основа сбытовый политика алрос 
11.12.2014,алрос укрепл€ть торговый сотрудничество с инди€ 
27.10.2014,фас разрешить согаза купить ск алрос 
26.11.2014,алрос возобновить работа arcos east в дубай 
26.12.2014,набсовет алрос прин€ть условие директива правительство по валютный актив 
