20.11.2018,вс разрешить пассажир самолЄт брать в салон помимо ручной класть и другой вещий 
19.11.2018,рынок акци€ рф закрытьс€ рост индекс мосбиржа прибавить 005 
20.11.2018,российский рынок встретить день в плохой настроение 
14.11.2018,рынок акци€ рф закрытьс€ рост индекс мосбиржа прибавить 015 
14.11.2018,индекс мосбиржа вырасти на 015 индекс ртс на 16 
13.11.2018,аэрофлот выпадать доход от удорожание топливо и девальваци€ рубль оцениватьс€ в 2018 год в 55 миллиард рубль 
13.11.2018,индекс мосбиржа снизитьс€ на 08 индекс ртс на 13 
12.11.2018,российский авиакомпани€ увеличить перевозка в окт€брь на 126 
12.11.2018,многомиллиардный убыток российский авиаци€ расти изз керосин 
12.11.2018,рынок акци€ рф закрытьс€ падение индекс мосбиржа снизитьс€ на 040 
12.11.2018,индекс мосбиржа снизитьс€ на 04 индекс ртс на 06 
09.11.2018,рынок акци€ рф закрытьс€ падение индекс мосбиржа снизитьс€ на 144 
08.11.2018,рынок акци€ рф закрытьс€ падение индекс мосбиржа снизитьс€ на 027 
07.11.2018,рынок акци€ рф закрытьс€ рост индекс мосбиржа прибавить 137 
15.08.2018,акци€ аэрофлот расти более чем на 5 на решение по мс21 
04.12.2014,аэрофлот держать цена в надежда сохранить пассажир 
15.12.2014,аэрофлот по итог год планировать увеличить перевозка пассажир на 15 
28.11.2014,аэрофлот увеличить перевозка пассажир в окт€брь на 8 
25.12.2014,группа аэрофлот увеличить перевозка пассажир в но€брь почти на 10 
28.01.2015,аэрофлот в 2014 год увеличить перевозка пассажир на 13 
