19.11.2018,газпром завершить морской часть газопровод турецкий поток 
19.11.2018,анализгазпром остатьс€ скупой на рост дивиденд в условие угроза санкци€ против трубопровод 
19.11.2018,за недел€ цена на дизтопливо вырасти на столичный азс роснефть лукойл и газпром нефть на 2 рубль 
19.11.2018,росси€ достроить морской часть турецкий поток 
19.11.2018,остановка гореть установка каткрекинг на мнпз продлитьс€ минимум до конец но€брь 
19.11.2018,песок допускать давление с сторона сша на участник турецкий поток 
19.11.2018,акр присвоить выпуск облигаци€ газпромбанк на 10 миллиард рубль рейтинг aaru 
19.11.2018,роснефть возобновить торг бензин на рынок 
19.11.2018,путин турецкий поток важный фактор энергобезопасность в европа 
18.11.2018,русгидро разместить еврооблигаци€ в офшорный юань 
19.11.2018,московский нпз снизить выпуск бензин на 40000 тонна в но€брь изз пожар 
19.11.2018,гк автодора 26 но€брь начать размещение облигаци€ сери€ 001р04 объЄм 4 миллиард рубль 
16.11.2018,газпром нефть в €нваресент€брь увеличить чистый прибыль на 58 
16.11.2018,газпром нефть мочь направить на дивиденд за 9 мес€ц 35 чистый прибыть по мсфо 
16.11.2018,газпром снизить экспорт газа в дальний зарубежье в начало но€брь на 12 
16.11.2018,в течение ближний недел€ с 17 по 23 но€брь ожидатьс€ выплата купонный доход по 4 выпуск еврооблигаци€ 
16.11.2018,мосбиржа зарегистрировать облигаци€ газпромбанк на 10 миллиард рубль 
16.11.2018,газпромнефть увеличить чистый прибыль на 70 в 3 кв год 
16.11.2018,газпромнефть ждать капзатрата в 2019 год на уровень 370380 миллиард рубль 
16.11.2018,в течение ближний недел€ с 17 по 23 но€брь ожидатьс€ выплата купонный доход по 76 выпуск облигаци€ 
