16.11.2018,рынок акци€ рф закрытьс€ падение индекс мосбиржа снизитьс€ на 037 
13.11.2018,российский рынок акци€ открытьс€ в минус 
09.11.2018,индекс мосбиржа упасть ниже 2400 пункт 
13.02.2015,роструд вз€тьс€ за магнит 
27.01.2015,чистый прибыль магнит по мсфо в 2014 год вырасти на треть 
27.01.2015,в чел€бинский область рекордсмен рост цена стать огурец плюс 47858 
04.11.2018,ммк вернутьс€ к вопрос о запуск сталелитейный мощность в турци€ в середина 2019 год 
26.07.2018,магнит рассчитывать улучшить показатель в iv кв акци€ компани€ Ц в лидер рост 
02.11.2018,магнит обратитьс€ в фас за согласование покупка сиа группа 
19.09.2016,Ђлукойлї возглавить рейтинг крупный частное компани€ росси€ 
29.07.2016,рынок акци€ рф итог недел€ и перспектива 
21.06.2017,включение акци€ кнр в индекс msci скорее негативно дл€ росси€ 
31.10.2018,ввод в эксплуатаци€ верхнемунский месторождение укрепить позици€ алрос на мировой рынок путин 
31.10.2018,газпромбанк разместить выпуск структурный облигаци€ на 700 миллион рубль 
31.12.2014,итог 2014ритейлер рф готовитьс€ к сложный год после обвал рубль 
24.11.2014,московский биржа с 1 декабрь изменить пор€док установление шаг цена 10 наиболее ликвидный акци€ 
19.12.2014,торговый сеть согласитьс€ сократить срок рассмотрение уведомление о повышение цена 
04.07.2018,доллар малоподвижный в тот число и в пара с рубль активность упасть изз выходной в сша 
12.02.2016,рынок акци€ рф итог недел€ 
13.02.2018,разворот который не быть 
