19.11.2018,новатэк объявить о открытие новое газоконденсатный месторождение 
14.11.2018,чистый прибыль новатэк вырасти в 31 раз 
13.11.2018,сингапурский pavilion energy рассмотреть возможность участие в арктик спг 2 
13.11.2018,рынок акция рф закрыться падение индекс мосбиржа снизиться на 079 
13.11.2018,россия установить рекорд по добыча нефть 
09.11.2018,индекс мосбиржа упасть ниже 2400 пункт 
08.11.2018,новатэк получить лицензия на ещё один участок на гыдан 
10.02.2015,новатэк ждать спрос на спг ямал благодаря ожидать дефицит газа 
31.10.2014,путин пообещать содействие новатэк в реализация проект ямалспг 
29.12.2014,проект постановление о выделение средство фнб для ямал спг направить в правительство 
02.11.2018,добыча газа в рф за 10 месяц вырасти на 52 
02.12.2014,россия снизить добыча газа на 36 добыча нефть вырасти на 07 
29.10.2014,роснефть справиться с инвестпрограмма сам если не получить средство фнб сечин 
01.11.2018,socar предложить газпром продлить контракт на покупка газа 
01.11.2018,рынок акция рф закрыться рост индекс мосбиржа прибавить 028 
01.11.2018,путин оценить макроэкономический ситуация в россия 
01.11.2018,федун поделиться с ребёнок 2 акция лукойл 
13.12.2017,хороший новость пока нет рынок расти сам 
28.05.2018,пмэф2018 самый громкий заявление 
26.01.2015,когда в дом пожар фнб пока не быть тратить на инфраструктурный проект 
