19.11.2018,роснефть обвинить независимый азс в завышение цена 
19.11.2018,роснефть возобновить торг бензин на рынок 
19.11.2018,за недел€ цена на дизтопливо вырасти на столичный азс роснефть лукойл и газпром нефть на 2 рубль 
16.11.2018,правительство распор€дитьс€ передать сп роснефть и вр лицензи€ на харампурский участок 
16.11.2018,рынок акци€ московский биржа по состо€ние на 1845 мск 16 но€брь двигатьс€ разнонаправленный 
15.11.2018,роснефть приостановить продажа бензин через биржа 
15.11.2018,сбербанк догнать роснефть по уровень рыночный капитализаци€ 
15.11.2018,росси€ не хотеть сокращать свой добыча нефть в ответ на новое иде€ опекисточник 
15.11.2018,рынок акци€ московский биржа по состо€ние на 1845 мск 15 но€брь расти 
15.11.2018,сегодн€ ожидатьс€ выплата купонный доход по 17 выпуск облигаци€ на общий сумма 304149 миллион рубль 
14.11.2018,роснефть рассчитывать на прин€тие в перспектива более универсальный мера на топливный рынок 
14.11.2018,в четверг 15 но€брь ожидатьс€ выплата купонный доход по 17 выпуск облигаци€ на общий сумма 304149 миллион рубль 
14.11.2018,рынок акци€ рф закрытьс€ рост индекс мосбиржа прибавить 015 
14.11.2018,рынок акци€ московский биржа по состо€ние на 1845 мск 14 но€брь расти 
13.11.2018,втб предложить сми поспорить на 1 миллиард рубль что не финансировать покупка акци€ роснефть 
13.11.2018,росси€ установить рекорд по добыча нефть 
13.11.2018,рынок акци€ рф закрытьс€ падение индекс мосбиржа снизитьс€ на 079 
13.11.2018,аэрофлот выпадать доход от удорожание топливо и девальваци€ рубль оцениватьс€ в 2018 год в 55 миллиард рубль 
12.11.2018,нефт€ник подписать соглашение о заморозка цена на бензин 
12.11.2018,козак рынок нефтепродукт в рф стабилизироватьс€ цена заморозить до апрель 
