20.11.2018,московский биржа доход beatplural revenue inlinesingle in q3 
19.11.2018,набсовет сбербанк одобрить получение от вэб за 5568 миллион право требование по кредит 
16.11.2018,кредитование сезонный полевой работа вырасти на 366 
16.11.2018,в течение ближний недел€ с 17 по 23 но€брь ожидатьс€ выплата купонный доход по 4 выпуск еврооблигаци€ 
16.11.2018,домрф ипотечный агент утвердить выпуск облигаци€ на 46 миллиард рубль 
16.11.2018,в течение ближний недел€ с 17 по 23 но€брь ожидатьс€ выплата купонный доход по 76 выпуск облигаци€ 
16.11.2018,пр€ма€ речьинтервью предправление фк открытие михаил задорнов 
16.11.2018,госдума рф считать преждевременный отмена ндс на золото рынок возражать 
15.11.2018,сбербанк догнать роснефть по уровень рыночный капитализаци€ 
15.11.2018,сбербанк 22 но€брь начать размещение выпуск структурный облигаци€ объЄм 1 миллиард рубль 
15.11.2018,решение вопрос о полный компенсаци€ вклад в сбербанк бссср госдума перенести ещЄ на год 
15.11.2018,мосбиржа зарегистрировать два выпуск структурный облигаци€ сбербанк на 15 миллиард рубль 
15.11.2018,центробанк мочь снизить порог величина актив банк дл€ оценка риск по пвр 
14.11.2018,правительство внести в госдума законопроект о регулирование лизинговый рынок 
14.11.2018,индекс мосбиржа вырасти на 015 индекс ртс на 16 
13.11.2018,сбербанк в рамка акци€ снизить ставка по потребкредит 
13.11.2018,сбербанк 30 но€брь начать размещение выпуск структурный облигаци€ объЄм 1 миллиард рубль 
13.11.2018,сбербанк 16 но€брь начать размещение выпуск структурный облигаци€ объЄм 500 миллион рубль 
13.11.2018,рост ставка по кредит физлицо в 2019 год не ожидатьс€ если инфл€ци€ не быть растить греф 
13.11.2018,российский рынок акци€ открытьс€ в минус 
